# time nusers response_time n_servers global_load_avg global_mem_util avg_num_apps_per_server
   4670.0 550    14.361 9    0.4344    0.4755 36
   4680.0 552    14.846 9    0.4344    0.4740 35
   4690.0 554    15.265 9    0.4692    0.4708 33
   4700.0 556    14.750 9    0.4594    0.4710 34
   4710.0 558    15.010 9    0.4605    0.4744 34
   4720.0 560    14.397 9    0.4547    0.4742 34
   4730.0 562    14.696 9    0.4539    0.4745 34
   4740.0 564    14.094 9    0.4539    0.4792 34
   4750.0 566    14.129 9    0.4190    0.4750 32
   4760.0 568    14.744 9    0.4371    0.4751 31
   4770.0 570    14.216 9    0.4409    0.4714 31
   4780.0 572    14.727 9    0.4455    0.4746 32
   4790.0 574    14.192 9    0.4445    0.4802 32
   4800.0 576    14.332 9    0.4445    0.4813 33
   4810.0 578    15.505 9    0.4888    0.4834 32
   4820.0 580    14.492 9    0.4785    0.4833 33
   4830.0 582    13.907 9    0.4690    0.4879 34
   4840.0 584    14.253 9    0.4638    0.4915 35
   4850.0 586    14.706 9    0.4637    0.4989 36
   4860.0 588    14.987 9    0.4637    0.4968 35
   4870.0 590    14.471 9    0.4749    0.4956 34
   4880.0 592    14.905 9    0.4904    0.4996 35
   4890.0 594    15.760 9    0.4933    0.5000 35
   4900.0 596    15.324 9    0.4943    0.5018 36
   4910.0 598    14.979 9    0.4938    0.5062 36
   4920.0 600    15.627 9    0.4938    0.5061 36
   4930.0 602    14.997 9    0.4788    0.5075 36
   4940.0 604    14.937 9    0.4917    0.5142 38
   4950.0 606    15.680 9    0.5050    0.5170 37
   4960.0 608    14.414 9    0.4950    0.5123 35
   4970.0 610    14.905 9    0.4954    0.5149 34
   4980.0 612    14.588 9    0.4954    0.5099 35
   4990.0 614    15.399 9    0.5308    0.5123 34
   5000.0 616    15.042 9    0.5163    0.5120 33
   5010.0 618    14.676 9    0.5092    0.5111 34
   5020.0 620    15.157 9    0.5128    0.5173 34
   5030.0 622    14.266 9    0.5071    0.5193 36
   5040.0 624    14.499 9    0.5071    0.5223 36
   5050.0 626    15.092 9    0.5099    0.5277 36
   5060.0 628    15.518 9    0.5260    0.5246 35
   5070.0 630    15.139 9    0.5178    0.5238 34
   5080.0 632    15.034 9    0.5195    0.5260 34
   5090.0 634    15.149 9    0.5210    0.5237 34
   5100.0 636    15.502 9    0.5210    0.5249 34
   5110.0 638    15.419 9    0.5604    0.5261 33
   5120.0 640    15.935 9    0.5588    0.5230 33
   5130.0 642    15.403 9    0.5566    0.5274 34
   5140.0 644    15.187 9    0.5505    0.5281 33
   5150.0 646    15.020 9    0.5475    0.5282 31
   5160.0 648    15.012 9    0.5475    0.5268 31
   5170.0 650    15.165 9    0.5411    0.5235 29
   5180.0 652    15.438 9    0.5474    0.5223 30
   5190.0 654    15.453 9    0.5527    0.5286 33
   5200.0 656    15.139 9    0.5522    0.5400 35
   5210.0 658    15.797 9    0.5581    0.5447 35
   5220.0 660    16.223 9    0.5581    0.5450 35
   5230.0 662    15.685 9    0.5602    0.5497 37
   5240.0 664    16.093 9    0.5661    0.5658 43
   5250.0 666    15.912 9    0.5666    0.5699 42
   5260.0 668    16.043 9    0.5714    0.5703 42
   5270.0 670    16.145 9    0.5778    0.5733 42
   5280.0 672    15.989 9    0.5778    0.5753 43
   5290.0 674    16.709 9    0.6053    0.5789 43
   5300.0 676    16.290 9    0.6052    0.5776 43
   5310.0 678    15.740 9    0.5952    0.5806 43
